Analysis;Component;Eenheid;Text-ID 1;Datum 1;Text-ID 2;Datum 2;Project;Matrix;Product grade;Meting 1;Meting 2;Gemiddelde (x);Ratio;Absoluut verschil;Relatief verschil;SD;CV
TEXTUUR_LD_LS13320_V;LEEM.6.63µm;PCT_V;23-001555;25/09/2023 8:41;24-004974;26/04/2024 18:47;V-23V057-09;BODEM;Bodem;5,9;6,2;6,05;1,05085;0,3;4,95867;;
TEXTUUR_LD_LS13320_V;LEEM.6.63µm;PCT_V;23-004728;28/09/2023 14:12;24-004982;26/04/2024 18:47;V-23V057-11;BODEM;Bodem;10,5;10,7;10,6;1,01905;0,2;1,88679;;
TEXTUUR_LD_LS13320_V;LEEM.6.63µm;PCT_V;23-004746;28/09/2023 14:12;24-004984;26/04/2024 18:47;V-23V057-11;BODEM;Bodem;18,2;20,9;19,55;1,14835;2,7;13,81074;;
TEXTUUR_LD_LS13320_V;LEEM.6.63µm;PCT_V;23-004747;28/09/2023 14:12;24-004986;26/04/2024 18:47;V-23V057-11;BODEM;Bodem;19,8;16,8;18,3;0,84848;-3;16,39344;;
TEXTUUR_LD_LS13320_V;LEEM.6.63µm;PCT_V;23-004754;24/10/2023 14:41;24-004988;26/04/2024 18:47;V-23V057-12;BODEM;Verontreinigde bodem;74;70;72;0,94595;-4;5,55556;;
TEXTUUR_LD_LS13320_V;LEEM.6.63µm;PCT_V;23-004787;24/10/2023 14:41;24-004990;26/04/2024 18:47;V-23V057-12;BODEM;Verontreinigde bodem;7,3;6,2;6,75;0,84932;-1,1;16,2963;;
TEXTUUR_LD_LS13320_V;LEEM.6.63µm;PCT_V;23-004805;24/10/2023 14:42;24-004992;26/04/2024 18:47;V-23V057-12;BODEM;Verontreinigde bodem;15,6;13,8;14,7;0,88462;-1,8;12,2449;;
TEXTUUR_LD_LS13320_V;LEEM.6.63µm;PCT_V;23-004911;10/11/2023 8:26;24-004994;26/04/2024 18:47;V-23V057-16;BODEM;NA;14,8;13,9;14,35;0,93919;-0,9;6,27178;;
TEXTUUR_LD_LS13320_V;LEEM.6.63µm;PCT_V;23-004914;10/11/2023 8:26;24-004996;26/04/2024 18:47;V-23V057-16;BODEM;NA;19,1;13,9;16,5;0,72775;-5,2;31,51516;;
TEXTUUR_LD_LS13320_V;LEEM.6.63µm;PCT_V;23-004942;14/11/2023 6:24;24-004998;26/04/2024 18:47;V-23V057-16;BODEM;NA;10,7;10,2;10,45;0,95327;-0,5;4,78469;;
TEXTUUR_LD_LS13320_V;LEEM.6.63µm;PCT_V;23-010912;8/02/2024 10:04;24-005000;26/04/2024 18:47;V-23V057-23;BODEM;NA;58,6;58,7;58,65;1,00171;0,1;0,17051;;
TEXTUUR_LD_LS13320_V;LEEM.6.63µm;PCT_V;23-010917;8/02/2024 10:04;24-005002;26/04/2024 18:47;V-23V057-23;BODEM;NA;70,2;69,8;70;0,9943;-0,39999;0,57142;;
TEXTUUR_LD_LS13320_V;LEEM.6.63µm;PCT_V;23-010933;8/02/2024 10:05;24-005004;26/04/2024 18:47;V-23V057-23;BODEM;NA;5,2;5,5;5,35;1,05769;0,3;5,60748;;
TEXTUUR_LD_LS13320_V;LEEM.6.63µm;PCT_V;ZZZZZZ;;D-ZZZZZZ-1;;;;;;;;;;;1,44655;7,628
TEXTUUR_LD_LS13320_V;ZAND.63.2000µm;PCT_V;23-001433;20/09/2023 11:55;24-004976;26/04/2024 18:47;V-23V057-07;Bodem;Bodem;86,2;84,1;85,15;0,97564;-2,1;2,46623;;
TEXTUUR_LD_LS13320_V;ZAND.63.2000µm;PCT_V;23-001448;20/09/2023 11:55;24-004978;26/04/2024 18:47;V-23V057-07;Bodem;Bodem;35;32,1;33,55;0,91714;-2,9;8,64382;;
TEXTUUR_LD_LS13320_V;ZAND.63.2000µm;PCT_V;23-001464;20/09/2023 10:57;24-004980;26/04/2024 18:47;V-23V057-07;Bodem;Bodem;9,2;7,9;8,55;0,8587;-1,3;15,20468;;
TEXTUUR_LD_LS13320_V;ZAND.63.2000µm;PCT_V;23-001530;25/09/2023 8:49;24-004970;26/04/2024 18:47;V-23V057-09;BODEM;Bodem;51,1;53,3;52,2;1,04305;2,2;4,21456;;
TEXTUUR_LD_LS13320_V;ZAND.63.2000µm;PCT_V;23-001551;25/09/2023 8:40;24-004972;26/04/2024 18:47;V-23V057-09;BODEM;Bodem;85;83,7;84,35;0,98471;-1,3;1,5412;;
TEXTUUR_LD_LS13320_V;ZAND.63.2000µm;PCT_V;23-001555;25/09/2023 8:41;24-004974;26/04/2024 18:47;V-23V057-09;BODEM;Bodem;91,1;90,3;90,7;0,99122;-0,8;0,88202;;
